,Reviews,Sentiment,Overall Sentiment
10,12. My favourite place for chole bhature,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
11,13. Taste is magnificent,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",Neutral
12,14. The taste of chole bhature was out of words. Properly cooked chole with proper consistency and very appealing on the same time.Bhatura on the other hand is crisped and less oilly on the same time which enhance the taste of it.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
13,15. I have been to Haldiram for the lunch. I had special thali. All the items were present in the thali but its just that it was not worth the price that they are having as it tasted average,"{'neg': 0.0, 'neu': 0.465, 'pos': 0.535, 'compound': 0.5574}",Positive
14,"16. Stopped here for a snack on our way back to the Manchester airport. Had the boneless buffalo wings and potato skins appetizer and some French onion soup. Appetizer was very good - wings spicy but not too spicy and the potato skins were excellent. Courtney our server was excellent and friendly, knowledgeable. Would stop in again if in the area. It's a chain but pretty good - better than most. Prices very reasonable.","{'neg': 0.118, 'neu': 0.231, 'pos': 0.65, 'compound': 0.9607}",Positive
15,17. Visit with my family lot of times always they give tasty food and fresh price is reasonable seating place is available,"{'neg': 0.0, 'neu': 0.723, 'pos': 0.277, 'compound': 0.3182}",Positive
16,18. Aaloo tikki. here the aaloo is well mixed with channas and oniond and well mixed with dahi and red chutney. The two pieces are very heavy and fulfilling,"{'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.4939}",Positive
17,"19. The menu of haldirams is full of delicious indian snacks, fresh sweets and lots of cuisines. I like the taste and flavours of the dishes. The seating area is perfect and good. The service was good.","{'neg': 0.0, 'neu': 0.244, 'pos': 0.756, 'compound': 0.9382}",Positive
18,"20. Recently i visited this outlet located in cp, new delhi with my friends. i was amazed to see the taste of the food they deliver. Also the service of the food delivery is very quick and i would love to visit it again","{'neg': 0.0, 'neu': 0.403, 'pos': 0.597, 'compound': 0.8126}",Positive
19,21. Haldiram is famous for their Namkeens and Street food. I am regular at this place. My last visit was with my colleagues . We had Masala dosa and Cholle Bhature. Both were good in taste specially I am a big fan of Cholle Bhature. Price wise it's very economical.,"{'neg': 0.0, 'neu': 0.734, 'pos': 0.266, 'compound': 0.4404}",Positive
20,22. Hadiram's is a nice place. Chole bhature and pav bhaji are no doubt must to try. The food is really good and hygiene with decent price,"{'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.7178}",Positive
21,"23. Haldiram has been a huge brand already and specially in Delhi it has been one of the most fasinating place. Haldiram won't leave a person with empty tummy. People can have some quick bites and have their favourite dishes from a huge lot of menu. They have everything that one needs right from all the namkeen stuffs, to desserts, pastry, street food and breakfast items etc. Everything here is nice and posh. Their packing on take aways be so perfect and rich.A super duper hit place for every foodie and people who want to get rid off the cravings.A much recommendable.I wish Haldiram also starts its huge chain here in Mumbai.","{'neg': 0.061, 'neu': 0.429, 'pos': 0.509, 'compound': 0.9678}",Positive
22,24. Haldirams is a nice place. Chole bhature is a must try. The flavours are really good. The quality is nice too,"{'neg': 0.0, 'neu': 0.334, 'pos': 0.666, 'compound': 0.7178}",Positive
23,25. Nice place over crowded as usual ..good food .tasty starters,"{'neg': 0.0, 'neu': 0.26, 'pos': 0.74, 'compound': 0.6908}",Positive
24,26. Being Desi Food Lover this outlet is one of my favorite across India as they have maintained their taste and verity of food from a long time,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
25,27. Very delicious chole bhature . Quick service. Good quantity of chole with bhature....,"{'neg': 0.0, 'neu': 0.233, 'pos': 0.767, 'compound': 0.765}",Positive
26,"The tandoori paratha was delicious with generous stuffing and a taste of tandoor in it makes it more special. Served with fresh curd it makes the perfect breakfast. Legendary outlet and highly pure ingredients. Raj kachori just stole my heart, one of the best raj kachori i've ever tasted. Lassi had the authentic punjabi taste. All items has a street style flavor which made it much more amazing","{'neg': 0.0, 'neu': 0.41, 'pos': 0.59, 'compound': 0.9646}",Positive
27,28. Will give zero..so disgusting have to throw food in dustbin,"{'neg': 0.63, 'neu': 0.37, 'pos': 0.0, 'compound': -0.5267}",Negative
28,29. Visited Haldiram for dinner and the place was very busy and hard to find the seat.  i take my thali and went to fist floor and find a seat. Delicious food and worth the spending.,"{'neg': 0.126, 'neu': 0.541, 'pos': 0.333, 'compound': 0.5106}",Positive
29,30. Best place for veg food. Their panipuris are my favourite. The best part is the ingredients are so pure that you will enjoy every single bite. The sooji panipuris are so fresh and just melts like a dream in your mouth. The water is yummy and tangy.,"{'neg': 0.0, 'neu': 0.157, 'pos': 0.843, 'compound': 0.8934}",Positive
30,31. The tandoori paratha was delicious with generous stuffing and a taste of tandoor in it makes it more special. Served with fresh curd it makes the perfect breakfast. Legendary outlet and highly pure ingredients.,"{'neg': 0.0, 'neu': 0.308, 'pos': 0.692, 'compound': 0.9403}",Positive
31,32. Nice place for family gatherings and outing. Love the hygiene atmosphere.,"{'neg': 0.0, 'neu': 0.222, 'pos': 0.778, 'compound': 0.7906}",Positive
32,33. I must say this place is not going to disappoint you. I had never visited a haldiram's  resataurant before. I tried a lot of things of here and all of them were top notch delicious.,"{'neg': 0.0, 'neu': 0.795, 'pos': 0.205, 'compound': 0.2023}",Positive
33,"34. Their menu had all kinds of things and not just snacks or chaats. They had rice bowls, all kinds of wraps, paneer gravy etc.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
34,"35. Some of the best items were aloo tikki chaat, Raj kachori, hakka noodles, bhel puri, and lassi.","{'neg': 0.0, 'neu': 0.323, 'pos': 0.677, 'compound': 0.6369}",Positive
35,"36. Raj kachori just stole my heart, one of the best raj kachori i've ever tasted. Lassi had the authentic punjabi taste.","{'neg': 0.0, 'neu': 0.543, 'pos': 0.457, 'compound': 0.6369}",Positive
36,37. All items has a street style flavor which made it much more amazing. The service was also fast. It was crowded the time I visited there but still they prepared,"{'neg': 0.0, 'neu': 0.513, 'pos': 0.487, 'compound': 0.6908}",Positive
37,38. The raj kachori was very good from the Haldirams... tastes good and worth the price.,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.7003}",Positive
38,"39. Belive it or not as quality is good as always, but we need more quantity, food is served with best Indian taste, but we need more something new,just to keep hunger on to fill this is the best.As chola is always cooked well but we need something more so invent more taste in same price.Good place to visit with family.","{'neg': 0.0, 'neu': 0.403, 'pos': 0.597, 'compound': 0.946}",Positive
39,40. This place is really great already it is a big brand name and the place really serves according to its name we went specially for choley bhature and believe me it was mouth watering and presentation was great with very reasonable price will surely back to try another dishes.,"{'neg': 0.0, 'neu': 0.545, 'pos': 0.455, 'compound': 0.9133}",Positive
40,41. I had Navratri fast for nine days and I was working too. There is an outlet of Haldiram below my office and I got to know that they serve fast special food. I had their navratrithali and to my surprise everything in that thali was delicious and mouthwatering. They made it separately for fast having people.,"{'neg': 0.0, 'neu': 0.541, 'pos': 0.459, 'compound': 0.8176}",Positive
41,"42. There are a lots of variety in food items they serve all the cuisine like Chinese , Italian , North Indian etc . Everything is veg over here and the price is also really reasonable . A good family place for casual dining","{'neg': 0.0, 'neu': 0.572, 'pos': 0.428, 'compound': 0.6419}",Positive
42,43. Chhole Bhature is excellent. Must try. Quality & Quantity is superbbb. The best thing in Chandni Chowk,"{'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.6369}",Positive
43,44. haldirams cp is very nice compared to another branches i love the quality n their service super satisfied with food and ambiance :D must try raj kachori n chole bhature :D n jalebi ofcccc,"{'neg': 0.0, 'neu': 0.234, 'pos': 0.766, 'compound': 0.8689}",Positive
44,"45. Just Love It . I had Ordered Masala Dosa, Manchurian with Rice ,Cold coffee, Coca cola Quality and Quantity to Good .I recommended try to Cold Coffee . Sambhar Quality to Good & Tasty.","{'neg': 0.0, 'neu': 0.561, 'pos': 0.439, 'compound': 0.5719}",Positive
45,46. It's a amazing place to hangout with you freinds nd office colleagues. There snacks are delicious as always.,"{'neg': 0.0, 'neu': 0.348, 'pos': 0.652, 'compound': 0.8176}",Positive
46,47. This place is a good spot. I went there with my cousin and had chhola bahtura was so good. Nice soft bhatura and delicious chhola. The service was nice and good humble staff. Definitely worth it.,"{'neg': 0.0, 'neu': 0.117, 'pos': 0.883, 'compound': 0.9666}",Positive
47,"48. Hey guys, so today I just visited this beautiful restaurant. The food was truly amazing,the ambiance was very cool, the staff was friendly. The food was pocket friendly and was truly amazing.","{'neg': 0.0, 'neu': 0.037, 'pos': 0.963, 'compound': 0.9776}",Positive
48,"49. I placed an order of chole bhature here and all I can say is ""Amazing chole bhature""!! This place never disappoints me. And the Raj kachori is bestest here!","{'neg': 0.0, 'neu': 0.501, 'pos': 0.499, 'compound': 0.717}",Positive
49,50. The food was awesome everything was fresh,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.7506}",Positive
50,51. Stay home bucket wow it's amazing party hard maja aa gya.... Loved it so yummm tasty,"{'neg': 0.109, 'neu': 0.0, 'pos': 0.891, 'compound': 0.9022}",Positive
51,52. Their hot wings and chicken bucket is my favourite at kfc. The place will offer you a lot varities of chicken to try from. And its a perfect place to satisfy your craving for non veg.,"{'neg': 0.0, 'neu': 0.654, 'pos': 0.346, 'compound': 0.5719}",Positive
52,1. KFC never dissatisfies. Best place to have chicken wings. Love it.,"{'neg': 0.503, 'neu': 0.149, 'pos': 0.348, 'compound': -0.2584}",Negative
53,2. If you like really spicy chicken like old dilli wala fry chicken then this place is definitely not for you.,"{'neg': 0.0, 'neu': 0.597, 'pos': 0.403, 'compound': 0.4019}",Positive
54,3. It is the best place to have a good meal. The customer services are good and the services are fast and quick as compared to others. The place and seating arrangements are far better. My favorite one is the hot wings. It is the best place to chill with your friends and family.i will recommend you to visit and have tasty meals.,"{'neg': 0.0, 'neu': 0.237, 'pos': 0.763, 'compound': 0.9771}",Positive
55,4. Worst service I didn't my full order,"{'neg': 0.804, 'neu': 0.196, 'pos': 0.0, 'compound': -0.6249}",Negative
56,5. This is a great KFC outlet. I loved the chicken wings here. Ambience was great too! Do pay a visit here!,"{'neg': 0.0, 'neu': 0.142, 'pos': 0.858, 'compound': 0.9201}",Positive
57,6. My favourite food joint for non veg anytime. This lockdown has made me realise how much i miss this place. Gonna visit this at first as soon as everything turns normal,"{'neg': 0.151, 'neu': 0.849, 'pos': 0.0, 'compound': -0.1531}",Negative
58,7. Have always ordered food from this KFC outlet but never been so disappointed. I got a mingles bucket and 2 hot&crispy and fries not so CRISPY. It was still warm but lost it's crispiness not only that what's suppose to be the crispy covers is soft and yucky ..they just REHEATED the chicken and not freshly prepared plus the chicken meat have various colours made me highly doubt the quality of the chicken. NOT EXPECTED.,"{'neg': 0.234, 'neu': 0.501, 'pos': 0.265, 'compound': -0.0616}",Negative
59,8. The hot and crispy chicken I ordered on 6th may 2020 was too salty,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
60,"9. Its finger looking good . Tried the super 11 bucket which have 4 piece hot wings , 4 chicken strips , 3 smoky chicken nd a coke . The chicken was very juicy nd was very good","{'neg': 0.0, 'neu': 0.382, 'pos': 0.618, 'compound': 0.8658}",Positive
61,10. I have pizza chicken Burger from KFC. I haven't been to kfc lately but this is something you gotta try. If the inventors of pizza and burger would have meet this would actually have been their recipe.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
62,11. Tastes awesome like always never goes wrong with kfc,"{'neg': 0.0, 'neu': 0.311, 'pos': 0.689, 'compound': 0.7687}",Positive
63,12. Famous place for chicken lovers specially fried chicken bucket which is famous all over the world.They serve vegetarian dishes also Sitting area and decorations are also good.,"{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.4404}",Positive
64,"13. Kfc cp outer circle outlet , it's has good space for family & friends with delicious chicken base products like burger , crispy fried chicken ,smooky chicken, lollipop, if you are crazy about fried chicken you must choose KFC.","{'neg': 0.158, 'neu': 0.197, 'pos': 0.645, 'compound': 0.8126}",Positive
65,14. Really wanna try chicken zinger but stuffing inside is less than expection. Crispy chicken is having very thick layer. What I liked the most is chicken popcorn. Virgin mojito is also fine,"{'neg': 0.0, 'neu': 0.635, 'pos': 0.365, 'compound': 0.5574}",Positive
66,15. I went to CP for shopping with friends. The space is nice and very neat and clean. Crispy chicken leg piece. Great customer service and come with good suggestion. Love this spot.,"{'neg': 0.0, 'neu': 0.114, 'pos': 0.886, 'compound': 0.9382}",Positive
67,"16. Nice space and neat and clean restaurant. I got meal was so good, soft and delicious burger and chicken wings was crispy and well cooked. They also gave a cookie.","{'neg': 0.0, 'neu': 0.289, 'pos': 0.711, 'compound': 0.9451}",Positive
68,17. I love kfc so much. Nearest to my home so i ordered chicken zinger combo. It's include zinger with two wings and hot n crispy tasted so well but hot n crispy piece was damn big. Tastee remains same inloved it,"{'neg': 0.0, 'neu': 0.674, 'pos': 0.326, 'compound': 0.743}",Positive
69,18. The kfc chicken is very tasty .. the service was a bit slow and had to wait for almost for an hour to get my order. Their spicey fries is my absolute favourite. Hope they improve their service,"{'neg': 0.0, 'neu': 0.604, 'pos': 0.396, 'compound': 0.3862}",Positive
70,"19. We ordered big 8 bucket , and the crispy chicken was really very soft and crunchy and smoky grilled just nailed it,","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
71,"20. After so long, i had #ChickenZinger n #Bonelesschickenstrip. #Kfc was always one of my favourite restaurants. Chicken zinger consist of a deep fried chicken patty (basically its boneless chicken thai) with some lettuce n topped with mayonnaise.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
72,"21. Hey guys, so today I just visited this beautiful restaurant. The food was truly amazing,the ambiance was very cool, the staff was friendly. The food was pocket friendly and was truly amazing.","{'neg': 0.0, 'neu': 0.037, 'pos': 0.963, 'compound': 0.9776}",Positive
73,"22. KFC is one of my places to have chicken. They have some amazing, delicious and juicy chicken. I completely love the fact that they have deals on some days.","{'neg': 0.0, 'neu': 0.143, 'pos': 0.857, 'compound': 0.9184}",Positive
74,"23. Not a big fan of KFC, but had to grab something on the go. Typical KFC menu but good for travel pickup, especially if you are travelling by air","{'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}",Positive
75,24. The mingles bucket was okay but the krusher was not tasting like it would usually. I was not even satisfied with my hunger and I was already out 500 bucks so totally waste of money too,"{'neg': 0.24, 'neu': 0.543, 'pos': 0.217, 'compound': -0.0754}",Negative
76,"25. Don t let appearances fool you the decor may be divey, but the hot wings are fantastic. This place is perfect for groups or a casual date night.","{'neg': 0.181, 'neu': 0.25, 'pos': 0.569, 'compound': 0.7351}",Positive
77,"26. The food served is fresh, service is quick. Tables are clean.","{'neg': 0.0, 'neu': 0.566, 'pos': 0.434, 'compound': 0.3182}",Positive
78,"27. I'm not a big fan of KFC . I prefer Muglai style chicken rather than KFC fried chicken .these are so much oily and when you shred its u can see blood in it which looks very bad. And my problems with this joint is his Washroom was not working and a women and her baby was very badly looking for it but the employee says washroom is closed, what is that mean ?","{'neg': 0.32, 'neu': 0.68, 'pos': 0.0, 'compound': -0.765}",Negative
79,"28. Went their in the morning for my breakfast, the chicken was really fresh and juicy. The ambience was clean and fresh, the service was up to the mark. The crisp and spiciness in the chicken","{'neg': 0.0, 'neu': 0.197, 'pos': 0.803, 'compound': 0.8}",Positive
80,29. This combo of Chicken popcorn and chicken longer in 99 is superrr amazing!,"{'neg': 0.0, 'neu': 0.208, 'pos': 0.792, 'compound': 0.5859}",Positive
81,"30. Well manged as like other KFCs. Services bit slow even in free hours.Items are ""delicious"". Front sitting is narrow. But enough space is available in food court. One will miss the aroma, if find distant sitting.Love to be here.","{'neg': 0.0, 'neu': 0.497, 'pos': 0.503, 'compound': 0.8442}",Positive
82,"31. Well, the chicken doesn't really need a feedback but this one goes out for the staff. I placed my order and was waiting at the counter when one of the staff asked if ""I"" was gonna eat the chicken too. I obviously replied with ""None of your business"". To which she said ""You're expecting and this chicken is not good for you"" How ashamed was I... I thanked her for her concern and assured that I was only gonna have just a little bit. :D Then the one who delivered my order also said to me, ""Ma'am please have this chicken restrictively, it has MSG which is not good for you"". I admit that I did give in to indulgence but this gesture where the brand was not scared of alerting the public of their own shortcomings is really kind, humane and magnanimous of them. So proud.","{'neg': 0.167, 'neu': 0.613, 'pos': 0.22, 'compound': 0.2263}",Positive
83,"32. I tried rice bowl and burger here, both are good in taste...the prices are reasonable...for chicken lovers, this is one of the good place to crave your hunger...sitting arrangement can be improved..","{'neg': 0.0, 'neu': 0.24, 'pos': 0.76, 'compound': 0.9136}",Positive
84,33. I visit this kfc outlet mostly because of it's convenient location. It's on the outer circle... So i eat here often after shopping at janpath.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
85,"34. Ordered a longer box, which clearly should have been called a tiny box. Definitely not filling for even a single person. Furthermore, the bun was stale and smelly. The chicken was old and soggy. Leave alone fried fresh, it could barely pass for fried 30 days ago. Not at all happy with the food. And the service was adequate at best.","{'neg': 0.095, 'neu': 0.447, 'pos': 0.457, 'compound': 0.9207}",Positive
86,35. I faced a really bad experience because of them my food was not up to the mark. The management was too rude. Never going to visit here again.,"{'neg': 0.558, 'neu': 0.442, 'pos': 0.0, 'compound': -0.5849}",Negative
87,"36. I have visited many KFC's but this one was the worst i ordered 2 chicken longers in which bread was stale. Kindly revert on it, or at least serve some good stuff to customers.","{'neg': 0.0, 'neu': 0.596, 'pos': 0.404, 'compound': 0.7269}",Positive
88,37. well no words could describe the love about this bucket .. taste was really amazing and probably the best thing to have to stop the chicken for chicken lovers ..,"{'neg': 0.0, 'neu': 0.168, 'pos': 0.832, 'compound': 0.9419}",Positive
89,"38. I visited the place on Monday for Lunch. The place is one of the worst maintained outlets by KFC although the process of ordering the food was smooth but in terms of sitting, cleanliness and ambiance it was one of the worst. The AC didn't seem to work or was not turned on , it was humid as hell inside the outlet.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
90,39. The food was standard KFC stuff same old taste of chicken nothing out of the ordinary here. I tried their new crusher called Vanilla Blue and it was just fine. Presentation of the crusher could have been vastly improved.,"{'neg': 0.0, 'neu': 0.735, 'pos': 0.265, 'compound': 0.2023}",Positive
91,40. Lajawab chicken we ordered big basket 8 for two person it's so curnchy and testy I love chicken I ordered 2 lemon soda it's cool their behaviour is so good and nice,"{'neg': 0.0, 'neu': 0.574, 'pos': 0.426, 'compound': 0.6369}",Positive
92,"41. KFC is the best option for non vegetarians, we have tried veg burger and rice bowls here..they are also very decent and the burger are also very crispy","{'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.6369}",Positive
93,"42. Food is delicious, no doubt. The 2 stars are for the items delivered. When I ordered a 5 in 1 rice bowl from Zomato which clearly mention ""Chocolash"" in it, they send me a pepsi instead. So that's what I'm pissed about. And I can't even upload a screenshot of their menu to show them.","{'neg': 0.239, 'neu': 0.398, 'pos': 0.364, 'compound': 0.296}",Positive
94,43. Went to this place after visiting Janpath and had their famous Depaul's momos there. This place was surprisingly pocket friendly for me.,"{'neg': 0.0, 'neu': 0.426, 'pos': 0.574, 'compound': 0.6597}",Positive
95,"44. This place is good for people who loves chicken, burger and fries and soda. We had a filling meal after a tiring day, services are quick we got our meal prepared within 5 minutes.","{'neg': 0.0, 'neu': 0.458, 'pos': 0.542, 'compound': 0.7964}",Positive
96,45. As well know all member kfc is best server. Today visited Connaught place brach with my friend. The taste as well same service also same,"{'neg': 0.0, 'neu': 0.373, 'pos': 0.627, 'compound': 0.8126}",Positive
97,46. There are two KFC at Connaught Place but visit this one only because they are more concerned to their customers and a gentle on that side and the food was also better than the other one.,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.7003}",Positive
98,"47. A very spacious , clean and hygienic outlet of KFC with very polite and professional staff members to serve you . Especially Neha, providing with exceptional service to the customer no matter what task she perform, she is having a smile on her face and a friendly attitude towards the customer","{'neg': 0.0, 'neu': 0.543, 'pos': 0.457, 'compound': 0.8126}",Positive
99,48. Great ambience place in connaught place in Delhi most crowded place we are ordered zinger chicken burgers so yummy staff is very good and queek service crunche chicken nice I love the burger nice test.....,"{'neg': 0.0, 'neu': 0.238, 'pos': 0.762, 'compound': 0.9432}",Positive
100,1. They let me place an order and then cancelled it one minute before it was supposed to arrive because they thought I was too far away (30 minutes). They don't want to refund the money and they do not answer questions. Terrible.,"{'neg': 0.215, 'neu': 0.645, 'pos': 0.14, 'compound': -0.1779}",Negative
101,"2. Located in the middle of Karol Bagh Market. Great variety of chaats and desserts. North Indian as well as south Indian delicacies, but portion size is small for price.","{'neg': 0.0, 'neu': 0.631, 'pos': 0.369, 'compound': 0.6249}",Positive
102,"3. Tried tandoori aloo from bikanervala, it has a great taste I'm telling you, the potatoes were fresh and the masala was on point too. Loved it","{'neg': 0.0, 'neu': 0.163, 'pos': 0.837, 'compound': 0.8834}",Positive
103,4. Uncooked vegetables with no flavor. This is all i have to write about this place.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
104,5. Love their sweet dishes . missing them a lot,"{'neg': 0.0, 'neu': 0.122, 'pos': 0.878, 'compound': 0.802}",Positive
105,6. It's the best food ever Friendly service and Nice hardworking people nice Place to have lunch!,"{'neg': 0.0, 'neu': 0.133, 'pos': 0.867, 'compound': 0.9186}",Positive
106,7. ordered Chole Bhature and Ras malai honestly speaking food is of great taste.specially ras malai. it was fresh and delicious. Good pocket friendly place. Really like it a big thumbs up!,"{'neg': 0.0, 'neu': 0.238, 'pos': 0.762, 'compound': 0.9595}",Positive
107,"8. I like this place! They prepare high quality food, their menu is varied, I love very much eating all their dishes.","{'neg': 0.0, 'neu': 0.488, 'pos': 0.512, 'compound': 0.6369}",Positive
108,"9. I ordered an plate of CHOLE BHATURE , the food is very good but the quantity of chole is not enough so I request you to please increase the quantity of chole with bhature. And honestly speaking food quality is GREAT","{'neg': 0.0, 'neu': 0.412, 'pos': 0.588, 'compound': 0.875}",Positive
109,10. Nice bikaneri taste and is make me remember my mother land wonderful experience must visit go and try chole and bhaturey,"{'neg': 0.0, 'neu': 0.48, 'pos': 0.52, 'compound': 0.7579}",Positive
110,"11. Seating space is very less and also we have to wait a lot of time for the ordered item to reach to your table. Also, location is not so good.","{'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}",Positive
111,"12. It was one of the best place in karol bagh to have south indian food. I loved idli and dosa. Apart from the south indian food, the delux thaali was also good.","{'neg': 0.0, 'neu': 0.421, 'pos': 0.579, 'compound': 0.9001}",Positive
112,13. This is a perfect place for sweets. Really enjoyed the meal. Chole bhature was really good,"{'neg': 0.0, 'neu': 0.222, 'pos': 0.778, 'compound': 0.8882}",Positive
113,14. Ras malai is really awesome and quality is so good,"{'neg': 0.0, 'neu': 0.117, 'pos': 0.883, 'compound': 0.8211}",Positive
114,"15. First time visited Karol baug area in Delhi, For lunch we were searching for Delhi ki authentic taste i.e chole bature and Dahi bhalle. We were lucky to get this taste in this restaurant. Very happy for the quality, quantity, taste and freshness of food. Restaurant has ample space to sit, Hygienic and clean.","{'neg': 0.0, 'neu': 0.552, 'pos': 0.448, 'compound': 0.7579}",Positive
115,16. Have some pav bhaji and idli sambhar. Taste is good and the qunatity is also nice. Good pocket friendly place. Visit with your friends and family to have a good time here. Sitting arrangement is good. You can sit and enjoy your food very well.,"{'neg': 0.0, 'neu': 0.116, 'pos': 0.884, 'compound': 0.9678}",Positive
116,17. I visited here yesterday with my family... We had raj kachori an chole bhature first.... Taste was really very nice... After that we ordered gajar ka halwa ... Halwa was very fresh an delicious... Service was very good...,"{'neg': 0.0, 'neu': 0.4, 'pos': 0.6, 'compound': 0.8999}",Positive
117,18. i love trying their new items every month of quarter since im 13 or 15 lol and its as good as haldirams trust meee !! must try their noodles n chole bhature you'll love it,"{'neg': 0.0, 'neu': 0.275, 'pos': 0.725, 'compound': 0.9217}",Positive
118,"19. The bakery section downstairs has a wide range of snacks ranging from chole bhature, sandwiches, pizza's, patties, subs, samosa's to a variety of deserts & sweets. The staff here is a little lethargic though may be due to the fact that they entertain so many customers in a day. Sitting capacity & ambience if this place is quite good specially after the recent renovation. They have a completely yellowish based theme in the restaurant so the environment around seems quite relaxed and calm.","{'neg': 0.057, 'neu': 0.595, 'pos': 0.349, 'compound': 0.8694}",Positive
119,20. I like their sponge rasgullas. They give 25% off after 9 pm,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
120,21. They have numerous options in sweets. Really love the food.,"{'neg': 0.0, 'neu': 0.308, 'pos': 0.692, 'compound': 0.6697}",Positive
121,"22. Good place for dining with family, a must go if you are a vegan. Quality of food and ambiance is good, it gets little crowded on weekends.","{'neg': 0.0, 'neu': 0.463, 'pos': 0.537, 'compound': 0.7003}",Positive
122,23. Came here for an evening snack but it turned out be full fledged meal thanks to the ambiance and aura!,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
